dteday,season,yr,mnth,hr,holiday,day_name,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_count,holiday_in_workingday,weekend
2011-01-02,Spring,2011,Jan,16,False,Sun,False,3,0.34,0.3333,0.71,0.1642,9,67,76,False,True
2011-01-02,Spring,2011,Jan,17,False,Sun,False,1,0.34,0.3333,0.57,0.194,7,58,65,False,True
2011-01-02,Spring,2011,Jan,18,False,Sun,False,2,0.36,0.3333,0.46,0.3284,10,43,53,False,True
2011-01-02,Spring,2011,Jan,19,False,Sun,False,1,0.32,0.2879,0.42,0.4478,1,29,30,False,True
2011-01-02,Spring,2011,Jan,20,False,Sun,False,1,0.3,0.2727,0.39,0.3582,5,17,22,False,True
2011-01-02,Spring,2011,Jan,21,False,Sun,False,1,0.26,0.2273,0.44,0.3284,11,20,31,False,True
2011-01-02,Spring,2011,Jan,22,False,Sun,False,1,0.24,0.2121,0.44,0.2985,0,9,9,False,True
2011-01-02,Spring,2011,Jan,23,False,Sun,False,1,0.22,0.2273,0.47,0.1642,0,8,8,False,True
2011-01-03,Spring,2011,Jan,0,False,Mon,True,1,0.22,0.197,0.44,0.3582,0,5,5,False,False
2011-01-03,Spring,2011,Jan,1,False,Mon,True,1,0.2,0.1667,0.44,0.4179,0,2,2,False,False
2011-01-03,Spring,2011,Jan,4,False,Mon,True,1,0.16,0.1364,0.47,0.3881,0,1,1,False,False
2011-01-03,Spring,2011,Jan,5,False,Mon,True,1,0.16,0.1364,0.47,0.2836,0,3,3,False,False
2011-01-03,Spring,2011,Jan,6,False,Mon,True,1,0.14,0.1061,0.5,0.3881,0,30,30,False,False
2011-01-03,Spring,2011,Jan,7,False,Mon,True,1,0.14,0.1364,0.5,0.194,1,63,64,False,False
2011-01-03,Spring,2011,Jan,8,False,Mon,True,1,0.14,0.1212,0.5,0.2836,1,153,154,False,False
2011-01-03,Spring,2011,Jan,9,False,Mon,True,1,0.16,0.1364,0.43,0.3881,7,81,88,False,False
2011-01-03,Spring,2011,Jan,10,False,Mon,True,1,0.18,0.1667,0.43,0.2537,11,33,44,False,False
2011-01-03,Spring,2011,Jan,11,False,Mon,True,1,0.2,0.1818,0.4,0.3284,10,41,51,False,False
2011-01-03,Spring,2011,Jan,12,False,Mon,True,1,0.22,0.2121,0.35,0.2985,13,48,61,False,False
2011-01-03,Spring,2011,Jan,13,False,Mon,True,1,0.24,0.2121,0.35,0.2836,8,53,61,False,False
2011-01-03,Spring,2011,Jan,14,False,Mon,True,1,0.26,0.2424,0.3,0.2836,11,66,77,False,False
2011-01-03,Spring,2011,Jan,15,False,Mon,True,1,0.26,0.2424,0.3,0.2537,14,58,72,False,False
2011-01-03,Spring,2011,Jan,16,False,Mon,True,1,0.26,0.2424,0.3,0.2537,9,67,76,False,False
2011-01-03,Spring,2011,Jan,17,False,Mon,True,1,0.24,0.2273,0.3,0.2239,11,146,157,False,False
2011-01-03,Spring,2011,Jan,18,False,Mon,True,1,0.24,0.2576,0.32,0.1045,9,148,157,False,False
2011-01-03,Spring,2011,Jan,19,False,Mon,True,1,0.2,0.2576,0.47,0.0,8,102,110,False,False
2011-01-03,Spring,2011,Jan,20,False,Mon,True,1,0.2,0.2273,0.47,0.1045,3,49,52,False,False
2011-01-03,Spring,2011,Jan,21,False,Mon,True,1,0.18,0.197,0.64,0.1343,3,49,52,False,False
2011-01-03,Spring,2011,Jan,22,False,Mon,True,1,0.14,0.1515,0.69,0.1343,0,20,20,False,False
2011-01-03,Spring,2011,Jan,23,False,Mon,True,1,0.18,0.2121,0.55,0.1045,1,11,12,False,False
2011-01-04,Spring,2011,Jan,0,False,Tue,True,1,0.16,0.1818,0.55,0.1045,0,5,5,False,False
2011-01-04,Spring,2011,Jan,1,False,Tue,True,1,0.16,0.1818,0.59,0.1045,0,2,2,False,False
2011-01-04,Spring,2011,Jan,2,False,Tue,True,1,0.14,0.1515,0.63,0.1343,0,1,1,False,False
2011-01-04,Spring,2011,Jan,4,False,Tue,True,1,0.14,0.1818,0.63,0.0896,0,2,2,False,False
2011-01-04,Spring,2011,Jan,5,False,Tue,True,1,0.12,0.1515,0.68,0.1045,0,4,4,False,False
2011-01-04,Spring,2011,Jan,6,False,Tue,True,1,0.12,0.1515,0.74,0.1045,0,36,36,False,False
2011-01-04,Spring,2011,Jan,7,False,Tue,True,1,0.12,0.1515,0.74,0.1343,2,92,94,False,False
2011-01-04,Spring,2011,Jan,8,False,Tue,True,1,0.14,0.1515,0.69,0.1642,2,177,179,False,False
2011-01-04,Spring,2011,Jan,9,False,Tue,True,1,0.16,0.1515,0.64,0.2239,2,98,100,False,False
2011-01-04,Spring,2011,Jan,10,False,Tue,True,2,0.16,0.1364,0.69,0.3284,5,37,42,False,False
2011-01-04,Spring,2011,Jan,11,False,Tue,True,1,0.22,0.2121,0.51,0.2985,7,50,57,False,False
2011-01-04,Spring,2011,Jan,12,False,Tue,True,1,0.22,0.2273,0.51,0.1642,12,66,78,False,False
2011-01-04,Spring,2011,Jan,13,False,Tue,True,1,0.24,0.2273,0.56,0.194,18,79,97,False,False
2011-01-04,Spring,2011,Jan,14,False,Tue,True,1,0.26,0.2576,0.52,0.2239,9,54,63,False,False
2011-01-04,Spring,2011,Jan,15,False,Tue,True,1,0.28,0.2727,0.52,0.2537,17,48,65,False,False
2011-01-04,Spring,2011,Jan,16,False,Tue,True,1,0.3,0.2879,0.49,0.2537,15,68,83,False,False
2011-01-04,Spring,2011,Jan,17,False,Tue,True,1,0.28,0.2727,0.48,0.2239,10,202,212,False,False
2011-01-04,Spring,2011,Jan,18,False,Tue,True,1,0.26,0.2576,0.48,0.194,3,179,182,False,False
2011-01-04,Spring,2011,Jan,19,False,Tue,True,1,0.24,0.2576,0.48,0.1045,2,110,112,False,False
2011-01-04,Spring,2011,Jan,20,False,Tue,True,1,0.24,0.2576,0.48,0.1045,1,53,54,False,False
2011-01-04,Spring,2011,Jan,21,False,Tue,True,1,0.22,0.2727,0.64,0.0,0,48,48,False,False
2011-01-04,Spring,2011,Jan,22,False,Tue,True,1,0.22,0.2576,0.64,0.0896,1,34,35,False,False
2011-01-04,Spring,2011,Jan,23,False,Tue,True,1,0.2,0.2273,0.69,0.0896,2,9,11,False,False
2011-01-05,Spring,2011,Jan,0,False,Wed,True,1,0.2,0.2576,0.64,0.0,0,6,6,False,False
2011-01-05,Spring,2011,Jan,1,False,Wed,True,1,0.16,0.197,0.74,0.0896,0,6,6,False,False
2011-01-05,Spring,2011,Jan,2,False,Wed,True,1,0.16,0.197,0.74,0.0896,0,2,2,False,False
2011-01-05,Spring,2011,Jan,4,False,Wed,True,1,0.24,0.2273,0.48,0.2239,0,2,2,False,False
2011-01-05,Spring,2011,Jan,5,False,Wed,True,1,0.22,0.2273,0.47,0.1642,0,3,3,False,False
2011-01-05,Spring,2011,Jan,6,False,Wed,True,1,0.2,0.197,0.47,0.2239,0,33,33,False,False
2011-01-05,Spring,2011,Jan,7,False,Wed,True,1,0.18,0.1818,0.43,0.194,1,87,88,False,False
2011-01-05,Spring,2011,Jan,8,False,Wed,True,1,0.2,0.1818,0.4,0.2985,3,192,195,False,False
2011-01-05,Spring,2011,Jan,9,False,Wed,True,1,0.22,0.197,0.37,0.3284,6,109,115,False,False
2011-01-05,Spring,2011,Jan,10,False,Wed,True,1,0.22,0.197,0.37,0.3284,4,53,57,False,False
2011-01-05,Spring,2011,Jan,11,False,Wed,True,1,0.26,0.2273,0.33,0.3284,12,34,46,False,False
2011-01-05,Spring,2011,Jan,12,False,Wed,True,1,0.26,0.2273,0.33,0.3284,5,74,79,False,False
2011-01-05,Spring,2011,Jan,13,False,Wed,True,1,0.28,0.2576,0.3,0.2985,6,65,71,False,False
2011-01-05,Spring,2011,Jan,14,False,Wed,True,1,0.3,0.2879,0.28,0.194,10,52,62,False,False
2011-01-05,Spring,2011,Jan,15,False,Wed,True,1,0.3,0.2879,0.28,0.194,7,55,62,False,False
2011-01-05,Spring,2011,Jan,16,False,Wed,True,1,0.3,0.3182,0.28,0.0896,4,85,89,False,False
2011-01-05,Spring,2011,Jan,17,False,Wed,True,1,0.24,0.2273,0.38,0.194,4,186,190,False,False
2011-01-05,Spring,2011,Jan,18,False,Wed,True,1,0.24,0.2424,0.38,0.1343,3,166,169,False,False
2011-01-05,Spring,2011,Jan,19,False,Wed,True,1,0.24,0.2576,0.38,0.1045,5,127,132,False,False
2011-01-05,Spring,2011,Jan,20,False,Wed,True,1,0.22,0.2273,0.47,0.1642,7,82,89,False,False
2011-01-05,Spring,2011,Jan,21,False,Wed,True,1,0.2,0.197,0.51,0.194,3,40,43,False,False
2011-01-05,Spring,2011,Jan,22,False,Wed,True,1,0.18,0.197,0.55,0.1343,1,41,42,False,False
2011-01-05,Spring,2011,Jan,23,False,Wed,True,1,0.2,0.2576,0.47,0.0,1,18,19,False,False
2011-01-06,Spring,2011,Jan,0,False,Thu,True,1,0.18,0.2424,0.55,0.0,0,11,11,False,False
2011-01-06,Spring,2011,Jan,1,False,Thu,True,1,0.16,0.2273,0.64,0.0,0,4,4,False,False
2011-01-06,Spring,2011,Jan,2,False,Thu,True,1,0.16,0.2273,0.64,0.0,0,2,2,False,False
2011-01-06,Spring,2011,Jan,4,False,Thu,True,2,0.16,0.197,0.64,0.0896,0,1,1,False,False
2011-01-06,Spring,2011,Jan,5,False,Thu,True,2,0.14,0.1818,0.69,0.0896,0,4,4,False,False
2011-01-06,Spring,2011,Jan,6,False,Thu,True,2,0.14,0.1667,0.63,0.1045,0,36,36,False,False
2011-01-06,Spring,2011,Jan,7,False,Thu,True,2,0.16,0.2273,0.59,0.0,0,95,95,False,False
2011-01-06,Spring,2011,Jan,8,False,Thu,True,1,0.16,0.2273,0.59,0.0,3,216,219,False,False
2011-01-06,Spring,2011,Jan,9,False,Thu,True,2,0.18,0.2424,0.51,0.0,6,116,122,False,False
2011-01-06,Spring,2011,Jan,10,False,Thu,True,1,0.2,0.2576,0.47,0.0,3,42,45,False,False
2011-01-06,Spring,2011,Jan,11,False,Thu,True,1,0.22,0.2576,0.44,0.0896,2,57,59,False,False
2011-01-06,Spring,2011,Jan,12,False,Thu,True,1,0.26,0.2879,0.35,0.0,6,78,84,False,False
2011-01-06,Spring,2011,Jan,13,False,Thu,True,1,0.26,0.2727,0.35,0.1045,12,55,67,False,False
2011-01-06,Spring,2011,Jan,14,False,Thu,True,1,0.28,0.2727,0.36,0.1642,11,59,70,False,False
2011-01-06,Spring,2011,Jan,15,False,Thu,True,1,0.28,0.2727,0.36,0.0,8,54,62,False,False
2011-01-06,Spring,2011,Jan,16,False,Thu,True,1,0.26,0.2576,0.38,0.1642,12,74,86,False,False
2011-01-06,Spring,2011,Jan,17,False,Thu,True,1,0.22,0.2273,0.51,0.1642,9,163,172,False,False
2011-01-06,Spring,2011,Jan,18,False,Thu,True,1,0.22,0.2273,0.51,0.1343,5,158,163,False,False
2011-01-06,Spring,2011,Jan,19,False,Thu,True,1,0.22,0.2576,0.55,0.0896,3,109,112,False,False
2011-01-06,Spring,2011,Jan,20,False,Thu,True,1,0.2,0.2121,0.51,0.1642,3,66,69,False,False
2011-01-06,Spring,2011,Jan,21,False,Thu,True,2,0.22,0.2121,0.55,0.2239,0,48,48,False,False
2011-01-06,Spring,2011,Jan,22,False,Thu,True,2,0.22,0.2121,0.51,0.2836,1,51,52,False,False
2011-01-06,Spring,2011,Jan,23,False,Thu,True,2,0.2,0.197,0.59,0.194,4,19,23,False,False
2011-01-07,Spring,2011,Jan,0,False,Fri,True,2,0.2,0.197,0.64,0.194,4,13,17,False,False
2011-01-07,Spring,2011,Jan,1,False,Fri,True,2,0.2,0.197,0.69,0.2239,2,5,7,False,False
2011-01-07,Spring,2011,Jan,2,False,Fri,True,2,0.2,0.197,0.69,0.2239,0,1,1,False,False
2011-01-07,Spring,2011,Jan,4,False,Fri,True,2,0.2,0.2121,0.69,0.1343,0,1,1,False,False
2011-01-07,Spring,2011,Jan,5,False,Fri,True,3,0.22,0.2727,0.55,0.0,0,5,5,False,False
2011-01-07,Spring,2011,Jan,6,False,Fri,True,2,0.2,0.2576,0.69,0.0,8,26,34,False,False
2011-01-07,Spring,2011,Jan,7,False,Fri,True,1,0.2,0.2121,0.69,0.1343,8,76,84,False,False
2011-01-07,Spring,2011,Jan,8,False,Fri,True,1,0.2,0.197,0.51,0.2537,20,190,210,False,False
2011-01-07,Spring,2011,Jan,9,False,Fri,True,1,0.2,0.1818,0.47,0.2985,9,125,134,False,False
2011-01-07,Spring,2011,Jan,10,False,Fri,True,1,0.22,0.197,0.37,0.3284,16,47,63,False,False
2011-01-07,Spring,2011,Jan,11,False,Fri,True,2,0.2,0.197,0.4,0.2239,19,48,67,False,False
2011-01-07,Spring,2011,Jan,12,False,Fri,True,2,0.2,0.197,0.37,0.2537,9,50,59,False,False
2011-01-07,Spring,2011,Jan,13,False,Fri,True,2,0.2,0.1818,0.37,0.2836,9,64,73,False,False
2011-01-07,Spring,2011,Jan,14,False,Fri,True,2,0.2,0.197,0.4,0.2537,7,43,50,False,False
2011-01-07,Spring,2011,Jan,15,False,Fri,True,2,0.2,0.2121,0.37,0.1642,9,63,72,False,False
2011-01-07,Spring,2011,Jan,16,False,Fri,True,2,0.2,0.2121,0.37,0.1642,5,82,87,False,False
2011-01-07,Spring,2011,Jan,17,False,Fri,True,2,0.2,0.2576,0.37,0.0,9,178,187,False,False
2011-01-07,Spring,2011,Jan,18,False,Fri,True,1,0.2,0.2273,0.4,0.0896,7,116,123,False,False
2011-01-07,Spring,2011,Jan,19,False,Fri,True,1,0.16,0.197,0.55,0.0896,3,92,95,False,False
2011-01-07,Spring,2011,Jan,20,False,Fri,True,1,0.18,0.2121,0.47,0.1045,1,50,51,False,False
2011-01-07,Spring,2011,Jan,21,False,Fri,True,1,0.18,0.197,0.47,0.1343,0,39,39,False,False
2011-01-07,Spring,2011,Jan,22,False,Fri,True,2,0.18,0.197,0.43,0.1642,2,34,36,False,False
2011-01-07,Spring,2011,Jan,23,False,Fri,True,2,0.18,0.197,0.51,0.1642,1,14,15,False,False
2011-01-08,Spring,2011,Jan,0,False,Sat,False,2,0.18,0.197,0.51,0.1642,1,24,25,False,True
2011-01-08,Spring,2011,Jan,1,False,Sat,False,2,0.18,0.2121,0.55,0.0896,1,15,16,False,True
2011-01-08,Spring,2011,Jan,2,False,Sat,False,2,0.18,0.2424,0.55,0.0,3,13,16,False,True
2011-01-08,Spring,2011,Jan,3,False,Sat,False,3,0.18,0.197,0.55,0.1642,0,7,7,False,True
2011-01-08,Spring,2011,Jan,4,False,Sat,False,3,0.18,0.197,0.55,0.1642,0,1,1,False,True
2011-01-08,Spring,2011,Jan,5,False,Sat,False,2,0.16,0.1667,0.74,0.1642,0,5,5,False,True
2011-01-08,Spring,2011,Jan,6,False,Sat,False,2,0.16,0.1667,0.74,0.1642,0,2,2,False,True
2011-01-08,Spring,2011,Jan,7,False,Sat,False,2,0.16,0.1818,0.74,0.1045,1,8,9,False,True
2011-01-08,Spring,2011,Jan,8,False,Sat,False,3,0.16,0.1818,0.93,0.1045,0,15,15,False,True
2011-01-08,Spring,2011,Jan,9,False,Sat,False,3,0.16,0.1818,0.93,0.1045,0,20,20,False,True
2011-01-08,Spring,2011,Jan,10,False,Sat,False,2,0.18,0.197,0.8,0.1642,5,56,61,False,True
2011-01-08,Spring,2011,Jan,11,False,Sat,False,2,0.2,0.1818,0.69,0.3881,2,60,62,False,True
2011-01-08,Spring,2011,Jan,12,False,Sat,False,2,0.2,0.1818,0.59,0.3582,8,90,98,False,True
2011-01-08,Spring,2011,Jan,13,False,Sat,False,1,0.2,0.1818,0.44,0.3284,7,95,102,False,True
2011-01-08,Spring,2011,Jan,14,False,Sat,False,1,0.2,0.1667,0.32,0.18289312672418853,12,83,95,False,True
2011-01-08,Spring,2011,Jan,15,False,Sat,False,1,0.2,0.1667,0.32,0.4478,5,69,74,False,True
2011-01-08,Spring,2011,Jan,16,False,Sat,False,1,0.18,0.1364,0.29,0.4478,8,68,76,False,True
2011-01-08,Spring,2011,Jan,17,False,Sat,False,1,0.16,0.1212,0.37,0.18289312672418853,5,64,69,False,True
2011-01-08,Spring,2011,Jan,18,False,Sat,False,1,0.14,0.1212,0.39,0.2985,3,52,55,False,True
2011-01-08,Spring,2011,Jan,19,False,Sat,False,1,0.14,0.1212,0.36,0.2537,4,26,30,False,True
2011-01-08,Spring,2011,Jan,20,False,Sat,False,1,0.12,0.1212,0.36,0.2537,0,28,28,False,True
2011-01-08,Spring,2011,Jan,21,False,Sat,False,1,0.12,0.1061,0.39,0.3582,2,35,37,False,True
2011-01-08,Spring,2011,Jan,22,False,Sat,False,1,0.12,0.1061,0.36,0.3881,1,33,34,False,True
2011-01-08,Spring,2011,Jan,23,False,Sat,False,1,0.1,0.0606,0.39,0.4478,0,22,22,False,True
2011-01-09,Spring,2011,Jan,0,False,Sun,False,1,0.1,0.0758,0.42,0.3881,1,24,25,False,True
2011-01-09,Spring,2011,Jan,1,False,Sun,False,1,0.1,0.0606,0.42,0.4627,0,12,12,False,True
2011-01-09,Spring,2011,Jan,2,False,Sun,False,1,0.1,0.0606,0.46,0.4627,0,11,11,False,True
2011-01-09,Spring,2011,Jan,3,False,Sun,False,1,0.1,0.0758,0.46,0.4179,0,4,4,False,True
2011-01-09,Spring,2011,Jan,4,False,Sun,False,1,0.08,0.0909,0.53,0.194,0,1,1,False,True
2011-01-09,Spring,2011,Jan,5,False,Sun,False,1,0.08,0.0909,0.53,0.194,0,1,1,False,True
2011-01-09,Spring,2011,Jan,6,False,Sun,False,1,0.1,0.0909,0.49,0.2836,0,1,1,False,True
2011-01-09,Spring,2011,Jan,7,False,Sun,False,1,0.08,0.0909,0.53,0.194,1,5,6,False,True
2011-01-09,Spring,2011,Jan,8,False,Sun,False,1,0.1,0.0909,0.49,0.2836,0,10,10,False,True
2011-01-09,Spring,2011,Jan,9,False,Sun,False,1,0.12,0.0758,0.46,0.18289312672418853,0,19,19,False,True
2011-01-09,Spring,2011,Jan,10,False,Sun,False,1,0.14,0.1061,0.43,0.3881,0,49,49,False,True
2011-01-09,Spring,2011,Jan,11,False,Sun,False,1,0.16,0.1212,0.4,0.18289312672418853,2,47,49,False,True
2011-01-09,Spring,2011,Jan,12,False,Sun,False,1,0.18,0.1364,0.37,0.4478,4,79,83,False,True
2011-01-09,Spring,2011,Jan,13,False,Sun,False,1,0.2,0.1667,0.34,0.4478,6,69,75,False,True
2011-01-09,Spring,2011,Jan,14,False,Sun,False,1,0.22,0.1818,0.32,0.4627,8,64,72,False,True
2011-01-09,Spring,2011,Jan,15,False,Sun,False,1,0.22,0.197,0.35,0.3582,5,77,82,False,True
2011-01-09,Spring,2011,Jan,16,False,Sun,False,1,0.2,0.1667,0.34,0.4478,13,79,92,False,True
2011-01-09,Spring,2011,Jan,17,False,Sun,False,1,0.18,0.1515,0.37,0.3881,3,59,62,False,True
2011-01-09,Spring,2011,Jan,18,False,Sun,False,1,0.16,0.1364,0.4,0.3284,4,44,48,False,True
2011-01-09,Spring,2011,Jan,19,False,Sun,False,1,0.16,0.1364,0.43,0.3284,1,40,41,False,True
2011-01-09,Spring,2011,Jan,20,False,Sun,False,1,0.14,0.1212,0.46,0.2537,0,38,38,False,True
2011-01-09,Spring,2011,Jan,21,False,Sun,False,1,0.14,0.1061,0.46,0.4179,1,19,20,False,True
2011-01-09,Spring,2011,Jan,22,False,Sun,False,1,0.14,0.1212,0.46,0.2985,5,10,15,False,True
2011-01-09,Spring,2011,Jan,23,False,Sun,False,1,0.12,0.1364,0.5,0.194,0,6,6,False,True
2011-01-10,Spring,2011,Jan,0,False,Mon,True,1,0.12,0.1212,0.5,0.2836,2,3,5,False,False
2011-01-10,Spring,2011,Jan,1,False,Mon,True,1,0.12,0.1212,0.5,0.2836,1,0,1,False,False
2011-01-10,Spring,2011,Jan,2,False,Mon,True,1,0.12,0.1212,0.5,0.2239,0,3,3,False,False
2011-01-10,Spring,2011,Jan,3,False,Mon,True,1,0.12,0.1212,0.5,0.2239,0,1,1,False,False
2011-01-10,Spring,2011,Jan,4,False,Mon,True,1,0.1,0.1212,0.54,0.1343,1,2,3,False,False
2011-01-10,Spring,2011,Jan,5,False,Mon,True,1,0.1,0.1061,0.54,0.2537,0,3,3,False,False
2011-01-10,Spring,2011,Jan,6,False,Mon,True,1,0.12,0.1212,0.5,0.2836,0,31,31,False,False
2011-01-10,Spring,2011,Jan,7,False,Mon,True,1,0.12,0.1212,0.5,0.2239,2,75,77,False,False
2011-01-10,Spring,2011,Jan,8,False,Mon,True,2,0.12,0.1212,0.5,0.2836,4,184,188,False,False
2011-01-10,Spring,2011,Jan,9,False,Mon,True,2,0.14,0.1212,0.5,0.2537,2,92,94,False,False
2011-01-10,Spring,2011,Jan,10,False,Mon,True,2,0.14,0.1212,0.5,0.2985,0,31,31,False,False
2011-01-10,Spring,2011,Jan,11,False,Mon,True,2,0.16,0.1364,0.47,0.2836,2,28,30,False,False
2011-01-10,Spring,2011,Jan,12,False,Mon,True,2,0.2,0.1818,0.4,0.2836,5,47,52,False,False
2011-01-10,Spring,2011,Jan,13,False,Mon,True,2,0.2,0.1818,0.4,0.2836,4,50,54,False,False
2011-01-10,Spring,2011,Jan,14,False,Mon,True,2,0.2,0.197,0.4,0.2239,0,47,47,False,False
2011-01-10,Spring,2011,Jan,15,False,Mon,True,2,0.2,0.197,0.4,0.2239,2,43,45,False,False
2011-01-10,Spring,2011,Jan,16,False,Mon,True,1,0.2,0.2121,0.4,0.1343,4,70,74,False,False
2011-01-10,Spring,2011,Jan,17,False,Mon,True,1,0.2,0.2273,0.4,0.1045,4,174,178,False,False
2011-01-10,Spring,2011,Jan,18,False,Mon,True,1,0.2,0.197,0.4,0.2239,1,154,155,False,False
2011-01-10,Spring,2011,Jan,19,False,Mon,True,1,0.16,0.1667,0.47,0.1642,3,92,95,False,False
2011-01-10,Spring,2011,Jan,20,False,Mon,True,1,0.16,0.1667,0.5,0.1642,1,73,74,False,False
2011-01-10,Spring,2011,Jan,21,False,Mon,True,1,0.14,0.1364,0.59,0.194,1,37,38,False,False
2011-01-10,Spring,2011,Jan,22,False,Mon,True,1,0.14,0.1515,0.59,0.1642,2,22,24,False,False
2011-01-10,Spring,2011,Jan,23,False,Mon,True,1,0.14,0.1515,0.59,0.1642,0,18,18,False,False
2011-01-11,Spring,2011,Jan,0,False,Tue,True,1,0.14,0.1667,0.59,0.1045,2,10,12,False,False
2011-01-11,Spring,2011,Jan,1,False,Tue,True,1,0.14,0.1515,0.59,0.1642,0,3,3,False,False
2011-01-11,Spring,2011,Jan,2,False,Tue,True,2,0.16,0.1515,0.55,0.194,0,3,3,False,False
2011-01-11,Spring,2011,Jan,5,False,Tue,True,2,0.16,0.1818,0.55,0.1343,0,6,6,False,False
2011-01-11,Spring,2011,Jan,6,False,Tue,True,2,0.16,0.1818,0.55,0.1343,0,27,27,False,False
2011-01-11,Spring,2011,Jan,7,False,Tue,True,2,0.16,0.2273,0.55,0.0,2,97,99,False,False
2011-01-11,Spring,2011,Jan,8,False,Tue,True,2,0.18,0.2121,0.51,0.0896,3,214,217,False,False
